
===== SHEET: gl_get_glider_data_slocum__2023  (18441x9) =====
DEPLOYMENT	GLIDER PARAMETER	AVAILABLE DATA	JSON FILE	EGO PARAMETER	EGO SENSOR	EGO SENSOR_MAKER	EGO SENSOR_MODEL	EGO SENSOR_SERIAL_NO
Mia_20200228	sci_oxy4_oxygen	1	Mia_20200228_OPTODE_DOXY_0270.json	MOLAR_DOXY	OPTODE_DOXY	AANDERAA	AANDERAA_OPTODE_4330	270
Mia_20200228	sci_oxy4_saturation	1						
Mia_20200228	sci_water_cond	1	Mia_20200228_CTD_9116.json	CNDC	CTD_CNDC	SBE	SBE	9116
Mia_20200228	sci_water_pressure	1	Mia_20200228_CTD_9116.json	PRES	CTD_PRES	SBE	SBE	9116
Mia_20200228	sci_water_temp	1	Mia_20200228_CTD_9116.json	TEMP	CTD_TEMP	SBE	SBE	9116
Mia_20200228	none	-1	Mia_20200228_CTD_9116.json	PSAL	CTD_CNDC	SBE	SBE	9116
Mia_20200228	none	-1	Mia_20200228_OPTODE_DOXY_0270.json	DOXY	OPTODE_DOXY	AANDERAA	AANDERAA_OPTODE_4330	270
Mia_20200804	c_wpt_lat	1						
Mia_20200804	c_wpt_lon	1						
Mia_20200804	m_depth	1						
Mia_20200804	m_gps_lat	1						
Mia_20200804	m_gps_lon	1						
Mia_20200804	m_lat	1						
Mia_20200804	m_lon	1						
Mia_20200804	m_present_secs_into_mission	1						
Mia_20200804	m_present_time	1						
Mia_20200804	m_water_vx	1						
Mia_20200804	m_water_vy	1						
Mia_20200804	sci_flntu_chlor_units	1	Mia_20200804_ECO_FLNTU_3380.json	CHLA	FLUOROMETER_CHLA	WETLABS	ECO_FLNTU	3380
Mia_20200804	sci_flntu_turb_units	1	Mia_20200804_ECO_FLNTU_3380.json	TURBIDITY	BACKSCATTERINGMETER_TURBIDITY	WETLABS	ECO_FLNTU	3380
Mia_20200804	sci_m_present_secs_into_mission	1						
Mia_20200804	sci_m_present_time	1						
Mia_20200804	sci_oxy4_oxygen	1	Mia_20200804_OPTODE_DOXY_0270.json	MOLAR_DOXY	OPTODE_DOXY	AANDERAA	AANDERAA_OPTODE_4330	270
Mia_20200804	sci_oxy4_saturation	1						
Mia_20200804	sci_water_cond	1	Mia_20200804_CTD_9116.json	CNDC	CTD_CNDC	SBE	SBE	9116
Mia_20200804	sci_water_pressure	1	Mia_20200804_CTD_9116.json	PRES	CTD_PRES	SBE	SBE	9116
Mia_20200804	sci_water_temp	1	Mia_20200804_CTD_9116.json	TEMP	CTD_TEMP	SBE	SBE	9116
Mia_20200804	none	-1	Mia_20200804_CTD_9116.json	PSAL	CTD_CNDC	SBE	SBE	9116
Mia_20200804	none	-1	Mia_20200804_OPTODE_DOXY_0270.json	DOXY	OPTODE_DOXY	AANDERAA	AANDERAA_OPTODE_4330	270
amadeus_20191123	m_depth	1						
amadeus_20191123	m_gps_lat	1						
amadeus_20191123	m_gps_lon	1						
amadeus_20191123	m_present_time	1						
amadeus_20191123	m_water_vx	1						
amadeus_20191123	m_water_vy	1						
amadeus_20191123	sci_flntu_chlor_units	1	amadeus_20191123_ECO_FLNTU_1368.json	CHLA	FLUOROMETER_CHLA	WETLABS	ECO_FLNTU	1368
amadeus_20191123	sci_flntu_turb_units	1	amadeus_20191123_ECO_FLNTU_1368.json	TURBIDITY	BACKSCATTERINGMETER_TURBIDITY	WETLABS	ECO_FLNTU	1368
amadeus_20191123	sci_m_present_time	0						
amadeus_20191123	sci_water_cond	1	amadeus_20191123_CTD_168.json	CNDC	CTD_CNDC	SBE	SBE41CP_V2	168
amadeus_20191123	sci_water_pressure	1	amadeus_20191123_CTD_168.json	PRES	CTD_PRES	SBE	SBE41CP_V2	168
amadeus_20191123	sci_water_temp	1	amadeus_20191123_CTD_168.json	TEMP	CTD_TEMP	SBE	SBE41CP_V2	168
amadeus_20191123	none	-1	amadeus_20191123_CTD_168.json	PSAL	CTD_CNDC	SBE	SBE41CP_V2	168
ammonite_20070118	c_acoustic_modem_target_id	0						
ammonite_20070118	c_air_pump	1						
ammonite_20070118	c_alt_recall	1						
ammonite_20070118	c_alt_time	1						
ammonite_20070118	c_argos_on	1						
ammonite_20070118	c_att_recall	1						
ammonite_20070118	c_att_time	1						
ammonite_20070118	c_auvb_num_fields_to_send	1						
ammonite_20070118	c_auvb_on	1						
ammonite_20070118	c_badd_clear_remote_data	0						
ammonite_20070118	c_badd_datacol_status_secs	1						
ammonite_20070118	c_badd_input_parse_secs	1						
ammonite_20070118	c_badd_mode	0						
ammonite_20070118	c_badd_on	1						
ammonite_20070118	c_badd_range_secs	1						
ammonite_20070118	c_badd_target_id	0						
ammonite_20070118	c_ballast_pumped	1						
ammonite_20070118	c_bam_chars_to_get_before_surfacing	1						
ammonite_20070118	c_bam_cmd_parse_secs	1						
ammonite_20070118	c_bam_datacol_report_secs	1						
ammonite_20070118	c_bam_inactivity_secs	1						
ammonite_20070118	c_bam_mode	0						
ammonite_20070118	c_bam_number_of_echos	1						
ammonite_20070118	c_bam_on	1						
ammonite_20070118	c_bam_target_id	1						
ammonite_20070118	c_bam_update_secs	1						
ammonite_20070118	c_battpos	1						
