FSI	Falmouth Scientific Instruments ocean conductivity module	https://vocab.nerc.ac.uk/collection/L22/current/TOOL0455/
SBE_GPCTD_2501S	Sea-Bird Slocum Glider Payload {GPCTD} CTD	https://vocab.nerc.ac.uk/collection/L22/current/TOOL1492/
SBE_GPCTD_2600S	Sea-Bird Slocum Glider Payload {GPCTD} CTD	https://vocab.nerc.ac.uk/collection/L22/current/TOOL1492/
SBE_GPCTD_2601S	Sea-Bird Slocum Glider Payload {GPCTD} CTD	https://vocab.nerc.ac.uk/collection/L22/current/TOOL1492/
SBE_CTD_SAIL	Sea-Bird CT Sail CTD	https://vocab.nerc.ac.uk/collection/L22/current/TOOL1188/
SBE43_IDO	Sea-Bird SBE 43 Dissolved Oxygen Sensor	https://vocab.nerc.ac.uk/collection/L22/current/TOOL0036/
SBE43I	Sea-Bird SBE 43 I (integral) dissolved oxygen sensor	https://vocab.nerc.ac.uk/collection/L22/current/TOOL1233/
SBE43F_IDO	Sea-Bird SBE 43 I (integral) dissolved oxygen sensor	https://vocab.nerc.ac.uk/collection/L22/current/TOOL1233/
SBE63_OPTODE	Sea-Bird SBE 63 dissolved oxygen sensor	https://vocab.nerc.ac.uk/collection/L22/current/TOOL0739/
AANDERAA_OPTODE	TBD	TBD
AANDERAA_OPTODE_3830	Aanderaa 3830 oxygen optode	https://vocab.nerc.ac.uk/collection/L22/current/TOOL0836/
AANDERAA_OPTODE_3835	Aanderaa 3835 oxygen optode	https://vocab.nerc.ac.uk/collection/L22/current/TOOL0103/
AANDERAA_OPTODE_3930	Aanderaa 3930 oxygen optode	https://vocab.nerc.ac.uk/collection/L22/current/TOOL1421/
AANDERAA_OPTODE_4330	Aanderaa 4330 and 4330F oxygen optode	https://vocab.nerc.ac.uk/collection/L22/current/TOOL0826/
AANDERAA_OPTODE_4330F	Aanderaa 4330 and 4330F oxygen optode	https://vocab.nerc.ac.uk/collection/L22/current/TOOL0826/
AANDERAA_OPTODE_4831	Aanderaa 4831 oxygen optode	https://vocab.nerc.ac.uk/collection/L22/current/TOOL1239/
AANDERAA_OPTODE_4831F	Aanderaa 4831F oxygen optode	https://vocab.nerc.ac.uk/collection/L22/current/TOOL1240/
ARO_FT	JFE Advantech Rinko FT ARO-FT oxygen sensor	https://vocab.nerc.ac.uk/collection/L22/current/TOOL1783/
